"Portland, Oregon Daily Bike Estimates, 2000-2018 (based on 2-hour peak counts)",,,,,,,,,,,,,,,,,,,,,,
Sector,Site #,Location,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,prior to 2000
east,151,SE Market & 130th,100,120,160,-,-,170,290,205,360,250,-,-,-,-,-,-,-,-,-,-
east,152,SE Main & 96th (East side),220,125,160,-,-,345,210,-,225,-,-,-,-,-,-,-,-,-,-,-
northeast,153,NE Glisan & 28th,760,"1,000","1,065","1,190","1,330","1,280","1,335","1,310","1,385",-,-,-,-,-,-,-,-,-,-,-
north,154,N Concord & Willamette,465,600,700,545,575,-,-,625,440,-,-,-,-,-,-,-,-,-,-,-
north,155,N Bryant & Wabash,,235,345,220,325,285,215,235,125,195,-,-,-,-,-,-,-,-,-,-
city center,156,SW Broadway & Main,540,"1,020",800,950,"1,435","1,195","1,175","1,255",795,-,-,-,-,-,-,-,-,-,-,-
city center,157,SW Naito & Clay,"1,005",745,740,"1,115",-,865,975,-,-,"1,125",-,-,-,-,-,-,-,-,-,-
city center,158,SW Main & 9th,375,180,435,395,640,570,530,-,-,635,-,-,-,-,-,-,-,-,-,-
city center,159,SW Park (NB) & Market,165,275,515,265,315,290,-,365,325,-,-,-,-,-,-,-,-,-,-,-
southeast,160,SE Clinton & 13th,"2,720","2,990","2,480","1,675",990,365,"1,020","1,030",855,695,-,-,-,-,-,-,-,-,-,-
city center,161,NW Broadway & Hoyt,"2,605","2,835","2,865","2,915","2,835","2,480","2,600","2,405",-,"1,915",-,-,-,-,-,-,-,-,-,-
city center,162,NW Broadway & Couch,"2,005","1,755","1,955","2,235","2,330","1,910","1,540","1,870","1,785","1,815",-,-,-,-,-,-,-,-,-,-
northwest,163,NW Johnson & 14th,"1,270","1,300","1,395","1,155","1,155","1,145","1,075","1,035","1,030","1,055",-,-,-,-,-,-,-,-,-,-
city center,164,SW Burnside & 13th/Stark,345,400,450,535,660,405,540,435,460,480,-,-,-,-,-,-,-,-,-,-
north,165,N Central & N Burr,100,105,165,180,150,140,150,150,110,-,-,-,-,-,-,-,-,-,-,-
north,166,N Wabash & N Halleck,,180,170,170,-,125,110,85,125,-,-,-,-,-,-,-,-,-,-,-
north,167,N Bryant & Concord,245,235,220,185,200,270,170,-,200,-,-,-,-,-,-,-,-,-,-,-
northeast,168,NE Holman & 27th,340,355,570,430,515,520,420,-,280,-,-,-,-,-,-,-,-,-,-,-
northeast,169,NE Klickitat & 27th,310,315,600,410,450,470,510,470,-,-,-,-,-,-,-,-,-,-,-,-
southeast,170,SE Mill & 87th,205,225,280,285,255,285,210,205,415,-,-,-,-,-,-,-,-,-,-,-
east,171,SE Holgate & 100th,115,200,100,200,250,235,290,175,155,-,-,-,-,-,-,-,-,-,-,-
east,172,SE Bush & 122nd,285,175,200,180,205,230,220,235,205,-,-,-,-,-,-,-,-,-,-,-
southeast,173,SE Umatilla & 19th,865,800,820,"1,060",795,"1,085","1,310",915,870,-,-,-,-,-,-,-,-,-,-,-
southeast,174,SE Spokane & 15th,365,365,370,565,-,515,675,550,260,-,-,-,-,-,-,-,-,-,-,-
southwest,175,SW Illinois & 45th,25,40,-,35,60,65,30,80,45,-,-,-,-,-,-,-,-,-,-,-
bridge,176,Morrison Bridge & SW Alder Ramp,730,665,"1,090","1,180",800,785,860,-,755,-,-,-,45,-,-,-,-,-,-,115
city center,200,SW Broadway & 6th (S of I-405),760,845,755,"1,085",950,"1,055","1,585","1,125","1,405","1,025","1,090",-,-,-,-,-,-,-,-,-
northeast,201,NE Alberta & 72nd,165,155,120,140,115,135,130,155,70,-,-,-,-,-,-,-,-,-,-,-
north,202,N Chautauqua & Willis,,110,155,35,125,120,130,-,125,-,-,-,-,-,-,-,-,-,-,-
northeast,203,NE Morris & 7th,775,820,"1,180",-,880,755,880,755,-,-,-,-,-,-,-,-,-,-,-,-
north,204,N Skidmore & Michigan,810,780,595,660,670,715,735,830,-,-,-,-,-,-,-,-,-,-,-,-
north,205,N Michigan & Rosa Parks,660,685,745,785,730,670,550,475,-,-,-,-,-,-,-,-,-,-,-,-
southwest,206,SW Multnomah & 25th,245,285,-,175,300,260,270,415,-,-,-,-,-,-,-,-,-,-,-,-
southwest,207,SW Capitol Hwy & 35th,170,155,190,245,180,220,80,240,-,-,-,-,-,-,-,-,-,-,-,-
northeast,208,NE Alberta & Cully,390,,275,265,345,230,185,250,-,-,-,-,-,-,-,-,-,-,-,-
east,209,NE Prescott & I-205,200,145,245,185,-,220,160,70,-,-,-,-,-,-,-,-,-,-,-,-
east,210,NE 102 & Pacific,,,-,145,255,295,250,185,-,-,-,-,-,-,-,-,-,-,-,-
east,211,SE Steele I-205 Overpass (including trail),435,405,585,525,650,620,515,-,-,-,-,-,-,-,-,-,-,-,-,-
southeast,212,SE Woodstock & 52nd,665,615,710,640,605,440,595,450,-,-,-,-,-,-,-,-,-,-,-,-
northeast,213,NE Holladay & 7th,960,865,935,980,905,-,"1,140",835,-,-,-,-,-,-,-,-,-,-,-,-
city center,214,SW River Parkway & River Dr,165,200,200,265,"1,250","1,170",870,-,-,-,-,745,-,-,-,-,-,-,-,-
city center,215,SW Naito & Morrison Bridge,"3,385","2,555",-,"1,425",-,900,"1,020",-,-,-,-,-,-,-,-,-,-,-,-,-
city center,216,SW Stark & 4th,"1,935","2,325","1,995","2,245","1,955","2,230","1,835",-,-,-,-,-,-,-,-,-,-,-,-,-
city center,217,SW 5th & Jackson/Lincoln,,330,300,460,320,265,385,-,-,-,-,-,-,-,-,-,-,-,-,-
city center,218,SW Oak & 3rd,"1,200","1,695","1,540","1,655","1,285","1,345","1,185",-,-,-,-,-,-,-,-,-,-,-,-,-
east,219,SE Springwater & 92nd,590,700,970,690,755,855,"1,050",-,-,-,-,490,-,-,-,-,-,-,-,-
east,220,SE Springwater Trail & SE 101st,385,600,640,745,685,645,805,-,-,-,-,-,-,-,-,-,-,-,-,-
east,221,SE Bush & 102nd,60,20,85,50,95,50,45,-,-,-,-,-,-,-,-,-,-,-,-,-
east,222,SE Mill & 148th,120,150,165,-,145,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
east,223,SE Main & 162nd,150,145,75,150,110,180,125,-,-,-,-,-,-,-,-,-,-,-,-,-
